id,trip_distance,trip_time_in_secs,tip_amount,fare_amount,tip_perc,counter,pickup_zipcode,dropoff_zipcode
10001|10001,0.828428941,385.8413437,0.701498708,6.315509044,11.3101784,1935,10001,10001
10001|10002,3.100103627,1008.414508,1.478212435,13.87823834,10.8351959,386,10001,10002
10001|10003,1.604332268,569.8977636,1.033194888,8.431309904,12.28211308,1565,10001,10003
10001|10004,4.399766082,1196.684211,2.142631579,17.69298246,12.69846524,171,10001,10004
10001|10005,4.153577982,1165.954128,1.998715596,16.87155963,12.1647073,109,10001,10005
10001|10006,3.878823529,1098.226891,1.400672269,16.03361345,8.464428121,119,10001,10006
10001|10007,3.0824,851.0094118,1.555435294,12.93882353,11.87648637,425,10001,10007
10001|10009,8780.058571,785.973545,1.320238095,10.83862434,12.35602243,378,10001,10009
10001|10010,1.019423759,410.3758865,0.770150709,6.498670213,11.7529498,1128,10001,10010
10001|10011,1.046893447,352.7573787,0.717798899,6.145822911,11.84121331,1999,10001,10011
10001|10012,2.121167048,739.2871854,1.304370709,10.32093822,12.70542888,874,10001,10012
10001|10013,2.480830368,759.6690391,1.188149466,11.14650059,10.92729226,843,10001,10013
10001|10014,1.468355795,450.2524708,0.96180593,7.430377358,12.93529582,1113,10001,10014
10001|10016,1.052655401,562.957755,0.854405552,7.629149065,11.14054234,1657,10001,10016
10001|10017,1.373746848,693.279879,0.976893596,9.010590015,10.78637381,1983,10001,10017
10001|10018,0.867705179,501.7697211,0.749952191,7.032270916,10.55503322,1255,10001,10018
10001|10019,1.459145386,700.6475996,0.943020089,9.183520599,10.33912609,2937,10001,10019
10001|10020,1.345680751,761.5258216,0.952112676,9.511737089,10.05004417,213,10001,10020
10001|10021,2.940730159,1046.696825,1.414285714,13.71746032,10.39873179,630,10001,10021
10001|10022,1.93470058,894.5653574,1.178602704,11.17868641,10.4384423,1553,10001,10022
10001|10023,2.266,807.4712644,1.182942529,11.12931034,10.93606077,870,10001,10023
10001|10024,3.22,960.8200837,1.432887029,13.708159,10.51853855,478,10001,10024
10001|10025,4.127185629,968.991018,1.715598802,15.51047904,11.04279438,334,10001,10025
10001|10026,5.135,1170.041667,2.167291667,18.72916667,11.23447552,48,10001,10026
10001|10027,5.94902439,1283.707317,2.262317073,21.32317073,10.59195921,82,10001,10027
10001|10028,3.585714286,1094.574468,1.86212766,15.18237082,12.41466825,329,10001,10028
10001|10029,4.525410959,1237.116438,1.718767123,17.69863014,9.997562717,146,10001,10029
10001|10030,6.84875,1391.375,1.78125,24.21875,7.168993477,16,10001,10030
10001|10031,6.605555556,1193.444444,2.296666667,22.34444444,10.344814,45,10001,10031
10001|10032,8.095952381,1191.452381,2.651190476,25.57142857,10.59176648,42,10001,10032
10001|10033,8.987692308,1354.74359,3.697435897,28.32051282,13.24110675,39,10001,10033
10001|10034,10.25086957,1311.913043,3.313913043,30.58695652,10.93268343,23,10001,10034
10001|10035,5.508611111,1438.166667,1.451944444,20.61111111,6.698146315,36,10001,10035
10001|10036,1.063603448,581.4551724,0.731012931,7.812284483,9.342958288,2320,10001,10036
10001|10037,6.763571429,1396.142857,2.316428571,22.17857143,10.52806148,14,10001,10037
10001|10038,3.797537313,1089.067164,1.698731343,15.82089552,11.11355947,134,10001,10038
10001|10039,7.72,1350.888889,2.386666667,25.27777778,9.640206494,9,10001,10039
10001|10040,9.428571429,1371.952381,3.461904762,29.11904762,11.88182061,21,10001,10040
10001|10044,5.475714286,1585.571429,2.471428571,21.5,11.33072665,7,10001,10044
10001|10065,2.573768116,1046.15735,1.383291925,13.22256729,10.43568901,483,10001,10065
10001|10075,3.303291925,1084.571429,1.473726708,14.47826087,9.980170097,161,10001,10075
